field,null_count,empty_count,total_count,null_percent,empty_percent,valid_percent
approved_date,0,0,45,0.0,0.0,100.0
combo_name_from_curriculum,0,35,45,0.0,77.78,22.22
combo_short_name_from_curriculum,0,35,45,0.0,77.78,22.22
course_id,0,0,45,0.0,0.0,100.0
course_name_from_curriculum,0,0,45,0.0,0.0,100.0
course_type_guess,0,0,45,0.0,0.0,100.0
credits,0,0,45,0.0,0.0,100.0
decision_no,0,0,45,0.0,0.0,100.0
degree_level,0,0,45,0.0,0.0,100.0
description,0,0,45,0.0,0.0,100.0
english_title,0,0,45,0.0,0.0,100.0
is_active,0,0,45,0.0,0.0,100.0
is_approved,0,0,45,0.0,0.0,100.0
min_avg_mark_to_pass,0,0,45,0.0,0.0,100.0
note,0,19,45,0.0,42.22,57.78
prerequisites,0,10,45,0.0,22.22,77.78
scoring_scale,0,0,45,0.0,0.0,100.0
semester_from_curriculum,0,0,45,0.0,0.0,100.0
student_tasks,0,0,45,0.0,0.0,100.0
subject_code_on_page,0,0,45,0.0,0.0,100.0
syllabus_code,0,0,45,0.0,0.0,100.0
syllabus_id,0,0,45,0.0,0.0,100.0
syllabus_id_from_url,0,0,45,0.0,0.0,100.0
syllabus_url,0,0,45,0.0,0.0,100.0
time_allocation,0,45,45,0.0,100.0,0.0
title,0,0,45,0.0,0.0,100.0
tools,0,12,45,0.0,26.67,73.33
